Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Promo_Intensity,Customer_Footfall,Stockout_Rate,Competitor_Count,Store_Type,Region,Holiday_Score,Date_2024
1,2024-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,0.2,5061,0.25,8,C,West,5,2024-08-06
1,2024-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,0.51,5629,0.03,1,B,South,0,2024-08-13
1,2024-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,0.59,5189,0.48,6,A,North,1,2024-08-20
1,2024-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,0.05,4748,0.06,9,A,West,2,2024-08-27
1,2024-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,0.61,3666,0.35,5,C,West,3,2024-09-03
1,2024-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,0.17,5066,0.25,5,A,West,10,2024-09-10
1,2024-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,0.07,3441,0.01,6,B,North,0,2024-09-17
1,2024-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,0.95,3067,0.46,5,B,South,2,2024-09-24
1,2024-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,0.97,6223,0.43,1,B,North,0,2024-10-01
1,2024-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,0.81,4923,0.26,10,B,North,2,2024-10-08
1,2024-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,0.3,6253,0.11,4,C,North,1,2024-10-15
1,2024-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,0.1,5856,0.06,2,A,East,4,2024-10-22
1,2024-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,0.68,2826,0.18,8,B,South,0,2024-10-29
1,2024-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,0.44,7986,0.13,7,C,South,3,2024-11-05
1,2024-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,0.12,6607,0.25,9,C,West,0,2024-11-12
1,2024-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,0.5,5985,0.48,10,B,West,2,2024-11-19
1,2024-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,0.03,4092,0.29,1,B,East,8,2024-11-26
1,2024-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,0.91,5179,0.44,0,C,North,1,2024-12-03
1,2024-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,0.26,6538,0.33,3,B,West,2,2024-12-10
1,2024-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,0.66,5901,0.24,3,B,South,5,2024-12-17
1,2024-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,0.31,4362,0.43,9,B,West,3,2024-12-24
1,2024-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,0.52,4224,0.24,10,A,North,6,2024-12-31
1,2024-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,0.55,3726,0.43,1,B,East,2,2024-01-07
1,2024-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,0.18,4006,0.15,6,B,North,5,2024-01-14
1,2024-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,0.97,7791,0.06,2,B,West,1,2024-01-21
1,2024-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,0.78,2266,0.43,6,A,East,0,2024-01-28
1,2024-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,0.94,2837,0.29,6,C,East,4,2024-02-04
1,2024-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,0.89,6584,0.44,0,B,North,9,2024-02-11
1,2024-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,0.6,6797,0.47,5,B,West,1,2024-02-18
1,2024-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,0.92,2686,0.03,3,C,North,1,2024-02-25
1,2024-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,0.09,5361,0.25,10,A,West,1,2024-03-04
1,2024-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,0.2,7091,0.19,7,B,West,0,2024-03-11
1,2024-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,0.05,2356,0.31,7,B,South,1,2024-03-18
1,2024-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,0.33,5815,0.4,2,B,East,1,2024-03-25
1,2024-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,0.39,2871,0.14,3,B,West,2,2024-04-01
1,2024-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,0.27,3973,0.28,0,A,North,2,2024-04-08
1,2024-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,0.83,6647,0.35,9,B,North,1,2024-04-15
1,2024-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,0.36,3810,0.07,1,B,South,1,2024-04-22
1,2024-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,0.28,6418,0.41,6,A,South,2,2024-04-29
1,2024-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,0.54,4641,0.3,10,C,South,0,2024-05-06
1,2024-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,0.14,4228,0.47,6,B,East,2,2024-05-13
1,2024-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,0.8,5391,0.17,8,C,South,2,2024-05-20
1,2024-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,0.07,6178,0.05,9,B,East,2,2024-05-27
1,2024-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,0.99,4350,0.25,8,B,South,2,2024-06-03
1,2024-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,0.77,6357,0.04,8,C,East,4,2024-06-10
1,2024-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,0.2,6879,0.48,5,C,West,3,2024-06-17
1,2024-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,0.01,7319,0.02,7,A,South,0,2024-06-24
1,2024-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,0.82,7009,0.38,8,C,East,5,2024-07-01
1,2024-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,0.71,4739,0.26,6,B,West,0,2024-07-08
1,2024-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,0.73,7039,0.18,3,A,South,1,2024-07-15
1,2024-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,0.77,4730,0.03,3,B,West,4,2024-07-22
1,2024-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,0.07,3318,0.31,5,C,South,1,2024-07-29
1,2024-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,0.36,3535,0.29,10,C,North,0,2024-08-05
1,2024-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,0.12,6784,0.14,3,A,East,0,2024-08-12
1,2024-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,0.86,4443,0.46,10,B,North,5,2024-08-19
1,2024-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,0.62,3772,0.15,6,C,East,5,2024-08-26
1,2024-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,0.33,5209,0.22,7,B,North,1,2024-09-02
1,2024-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,0.06,6934,0.27,7,B,South,8,2024-09-09
1,2024-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,0.31,2877,0.05,7,B,North,1,2024-09-16
1,2024-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,0.33,4870,0.47,1,A,South,3,2024-09-23
1,2024-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,0.73,5200,0.19,9,B,East,3,2024-09-30
1,2024-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,0.64,6144,0.04,1,A,South,2,2024-10-07
1,2024-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,0.89,5747,0.19,1,B,North,0,2024-10-14
1,2024-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,0.47,4836,0.3,1,A,West,2,2024-10-21
1,2024-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,0.12,2292,0.26,3,B,East,0,2024-10-28
1,2024-11-04,1697229.58,0,54.98,3.332,217.837382,7.866,0.71,3651,0.35,4,B,West,2,2024-11-04
1,2024-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,0.76,6631,0.03,3,B,West,3,2024-11-11
1,2024-11-18,1539483.7,0,62.25,3.308,218.2205088,7.866,0.56,6406,0.14,4,B,West,2,2024-11-18
1,2024-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,0.77,2536,0.41,3,A,West,10,2024-11-25
1,2024-12-02,1584083.95,0,48.91,3.172,218.7147333,7.866,0.49,4686,0.04,6,C,West,2,2024-12-02
1,2024-12-09,1799682.38,0,43.93,3.158,218.9618456,7.866,0.52,2233,0.43,9,B,North,5,2024-12-09
1,2024-12-16,1881176.67,0,51.63,3.159,219.1794533,7.866,0.43,7328,0.05,0,B,South,5,2024-12-16
1,2024-12-23,2270188.99,0,47.96,3.112,219.3577216,7.866,0.03,4652,0.42,0,A,South,2,2024-12-23
1,2024-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,0.11,4374,0.18,1,A,West,8,2024-12-30
1,2024-01-06,1550369.92,0,49.01,3.157,219.7142581,7.348,0.03,4272,0.31,0,C,North,4,2024-01-06
1,2024-01-13,1459601.17,0,48.53,3.261,219.8925263,7.348,0.64,2966,0.08,9,B,West,0,2024-01-13
1,2024-01-20,1394393.84,0,54.11,3.268,219.9856893,7.348,0.31,2889,0.03,9,B,West,2,2024-01-20
1,2024-01-27,1319325.59,0,54.26,3.29,220.0788523,7.348,0.51,5863,0.11,10,A,East,0,2024-01-27
1,2024-02-03,1636339.65,0,56.55,3.36,220.1720153,7.348,0.91,5400,0.06,2,B,North,5,2024-02-03
1,2024-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,0.25,2034,0.16,5,C,West,6,2024-02-10
1,2024-02-17,1819870.0,0,45.32,3.51,220.4257586,7.348,0.41,6542,0.26,9,A,South,3,2024-02-17
1,2024-02-24,1539387.83,0,57.25,3.555,220.636902,7.348,0.76,5523,0.29,10,B,East,1,2024-02-24
1,2024-03-02,1688420.76,0,60.96,3.63,220.8480454,7.348,0.23,3763,0.39,5,C,West,4,2024-03-02
1,2024-03-09,1675431.16,0,58.76,3.669,221.0591887,7.348,0.08,5291,0.33,0,B,West,4,2024-03-09
1,2024-03-16,1677472.78,0,64.74,3.734,221.2118132,7.348,0.29,4488,0.3,5,A,West,0,2024-03-16
1,2024-03-23,1511068.07,0,65.93,3.787,221.2864126,7.348,0.16,4700,0.21,4,B,North,0,2024-03-23
1,2024-03-30,1649604.63,0,67.61,3.845,221.3610119,7.348,0.93,3558,0.24,6,A,West,2,2024-03-30
1,2024-04-06,1899676.88,0,70.43,3.891,221.4356112,7.143,0.81,6690,0.21,5,C,South,1,2024-04-06
1,2024-04-13,1621031.7,0,69.07,3.891,221.5102105,7.143,0.63,4276,0.42,6,B,East,0,2024-04-13
1,2024-04-20,1521577.87,0,66.76,3.877,221.5640737,7.143,0.87,6006,0.12,1,C,North,5,2024-04-20
1,2024-04-27,1468928.37,0,67.23,3.814,221.6179368,7.143,0.8,6439,0.0,0,A,East,0,2024-04-27
1,2024-05-04,1684519.99,0,75.55,3.749,221.6718,7.143,0.19,3103,0.33,6,B,South,5,2024-05-04
1,2024-05-11,1611096.05,0,73.77,3.688,221.7256632,7.143,0.89,3419,0.1,8,A,West,0,2024-05-11
1,2024-05-18,1595901.87,0,70.33,3.63,221.742674,7.143,0.54,7409,0.45,1,B,North,3,2024-05-18
1,2024-05-25,1555444.55,0,77.22,3.561,221.744944,7.143,0.81,3478,0.43,6,A,West,0,2024-05-25
1,2024-06-01,1624477.58,0,77.95,3.501,221.7472139,7.143,0.9,5914,0.04,2,B,North,3,2024-06-01
1,2024-06-08,1697230.96,0,78.3,3.452,221.7494839,7.143,0.32,5742,0.05,5,C,West,4,2024-06-08
1,2024-06-15,1630607.0,0,79.35,3.393,221.7626421,7.143,0.11,7247,0.25,2,A,South,2,2024-06-15
1,2024-06-22,1527845.81,0,78.39,3.346,221.8030211,7.143,0.23,4956,0.3,9,B,South,1,2024-06-22
1,2024-06-29,1540421.49,0,84.88,3.286,221.8434,7.143,0.43,3382,0.14,10,C,West,0,2024-06-29
1,2024-07-06,1769854.16,0,81.57,3.227,221.8837789,6.908,0.82,4574,0.36,10,C,South,3,2024-07-06
1,2024-07-13,1527014.04,0,77.12,3.256,221.9241579,6.908,0.86,5384,0.3,10,A,West,0,2024-07-13
1,2024-07-20,1497954.76,0,80.42,3.311,221.9327267,6.908,0.01,3569,0.16,4,C,North,0,2024-07-20
1,2024-07-27,1439123.71,0,82.66,3.407,221.9412954,6.908,0.51,3894,0.01,1,A,South,3,2024-07-27
1,2024-08-03,1631135.79,0,86.11,3.417,221.9498642,6.908,0.42,4243,0.38,7,B,North,0,2024-08-03
1,2024-08-10,1592409.97,0,85.05,3.494,221.9584329,6.908,0.22,3866,0.11,7,C,West,1,2024-08-10
1,2024-08-17,1597868.05,0,84.85,3.571,222.0384109,6.908,0.12,2028,0.42,6,B,North,5,2024-08-17
1,2024-08-24,1494122.38,0,77.66,3.62,222.1719457,6.908,0.34,2705,0.21,5,C,East,5,2024-08-24
1,2024-08-31,1582083.4,0,80.49,3.638,222.3054805,6.908,0.94,3020,0.29,0,C,West,5,2024-08-31
1,2024-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,0.32,4063,0.44,7,A,South,6,2024-09-07
1,2024-09-14,1517428.87,0,74.97,3.717,222.5820193,6.908,0.52,3446,0.43,0,B,South,4,2024-09-14
1,2024-09-21,1506126.06,0,69.87,3.721,222.7818386,6.908,0.7,5664,0.19,7,B,East,2,2024-09-21
1,2024-09-28,1437059.26,0,76.08,3.666,222.9816579,6.908,0.36,4987,0.1,10,B,West,0,2024-09-28
1,2024-10-05,1670785.97,0,68.55,3.617,223.1814772,6.573,0.97,7755,0.39,1,A,West,3,2024-10-05
1,2024-10-12,1573072.81,0,62.99,3.601,223.3812965,6.573,0.96,5602,0.22,7,B,West,1,2024-10-12
1,2024-10-19,1508068.77,0,67.97,3.594,223.4257233,6.573,0.25,7062,0.1,9,C,West,0,2024-10-19
1,2024-10-26,1493659.74,0,69.16,3.506,223.4442513,6.573,0.5,5685,0.45,3,C,North,4,2024-10-26
2,2024-02-05,2136989.46,0,40.19,2.572,210.7526053,8.324,0.3,5368,0.1,6,B,West,4,2024-02-05
2,2024-02-12,2137809.5,1,38.49,2.548,210.8979935,8.324,0.28,5581,0.01,4,B,North,8,2024-02-12
2,2024-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,0.04,4762,0.01,7,B,North,0,2024-02-19
2,2024-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,0.61,6037,0.31,5,B,South,5,2024-02-26
2,2024-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,0.5,2572,0.33,4,C,West,0,2024-03-05
2,2024-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,0.05,7702,0.16,0,A,North,0,2024-03-12
2,2024-03-19,1946070.88,0,54.52,2.72,210.8733316,8.324,0.28,6088,0.16,2,B,West,4,2024-03-19
2,2024-03-26,1750197.81,0,51.26,2.732,210.6766095,8.324,0.91,2614,0.17,9,C,East,0,2024-03-26
2,2024-04-02,2066187.72,0,63.27,2.719,210.4798874,8.2,0.24,6050,0.34,8,C,North,5,2024-04-02
2,2024-04-09,1954689.21,0,65.41,2.77,210.2831653,8.2,0.14,2325,0.03,8,B,South,0,2024-04-09
2,2024-04-16,1874957.94,0,68.07,2.808,210.1495463,8.2,0.49,5740,0.46,4,A,West,0,2024-04-16
2,2024-04-23,1821990.93,0,65.11,2.795,210.1000648,8.2,0.99,2358,0.11,2,C,South,0,2024-04-23
2,2024-04-30,1802450.29,0,66.98,2.78,210.0505833,8.2,0.24,5777,0.5,5,B,North,5,2024-04-30
2,2024-05-07,2042581.71,0,71.28,2.835,210.0011018,8.2,0.67,7906,0.09,4,B,North,5,2024-05-07
2,2024-05-14,1880752.36,0,73.31,2.854,209.9984585,8.2,0.76,4371,0.39,0,B,South,3,2024-05-14
2,2024-05-21,1896937.1,0,74.83,2.826,210.2768443,8.2,0.24,3721,0.11,1,A,West,4,2024-05-21
2,2024-05-28,1957113.89,0,81.13,2.759,210.5552301,8.2,0.73,3349,0.04,4,A,North,2,2024-05-28
2,2024-06-04,2102539.93,0,81.81,2.705,210.833616,8.2,0.37,5696,0.44,8,B,East,3,2024-06-04
2,2024-06-11,2025538.76,0,83.4,2.668,211.1120018,8.2,0.63,5896,0.43,3,A,South,5,2024-06-11
2,2024-06-18,2001636.96,0,85.81,2.637,211.1096543,8.2,0.63,6260,0.2,8,A,North,0,2024-06-18
2,2024-06-25,1939927.09,0,86.26,2.653,210.9950134,8.2,0.54,3596,0.35,2,B,West,2,2024-06-25
2,2024-07-02,2003940.64,0,82.74,2.669,210.8803726,8.099,0.09,3627,0.28,0,B,North,1,2024-07-02
2,2024-07-09,1880902.62,0,82.59,2.642,210.7657317,8.099,0.84,4502,0.43,5,A,West,2,2024-07-09
2,2024-07-16,1845879.79,0,85.32,2.623,210.7577954,8.099,0.32,7272,0.16,9,A,West,3,2024-07-16
2,2024-07-23,1781717.71,0,87.66,2.608,210.8921319,8.099,0.19,5808,0.26,6,C,North,4,2024-07-23
2,2024-07-30,1804246.16,0,83.49,2.64,211.0264684,8.099,0.04,7246,0.24,3,A,East,3,2024-07-30
2,2024-08-06,1991909.98,0,89.53,2.627,211.1608049,8.099,0.59,2192,0.18,9,B,West,4,2024-08-06
2,2024-08-13,1895601.05,0,89.05,2.692,211.2951413,8.099,0.68,4674,0.45,4,B,South,4,2024-08-13
2,2024-08-20,1964335.23,0,88.7,2.664,211.2596586,8.099,0.02,5845,0.08,3,C,West,5,2024-08-20
2,2024-08-27,1863840.49,0,87.12,2.619,211.2241759,8.099,0.51,4577,0.07,2,B,West,4,2024-08-27
2,2024-09-03,1904608.09,0,81.83,2.577,211.1886931,8.099,0.23,2091,0.29,0,A,East,1,2024-09-03
2,2024-09-10,1839128.83,1,79.09,2.565,211.1532104,8.099,0.65,6234,0.33,5,A,West,9,2024-09-10
2,2024-09-17,1793903.6,0,82.05,2.582,211.1806415,8.099,0.17,2480,0.1,9,B,North,3,2024-09-17
2,2024-09-24,1724557.22,0,81.79,2.624,211.2552578,8.099,0.69,7452,0.2,4,B,East,3,2024-09-24
2,2024-10-01,1827440.43,0,69.24,2.603,211.3298742,8.163,0.39,4916,0.47,10,B,West,4,2024-10-01
2,2024-10-08,1849921.44,0,63.19,2.633,211.4044906,8.163,0.94,6435,0.12,0,A,North,5,2024-10-08
2,2024-10-15,1794355.49,0,65.8,2.72,211.4713286,8.163,0.14,3075,0.33,4,B,North,1,2024-10-15
2,2024-10-22,1737947.64,0,68.5,2.725,211.5187208,8.163,0.34,4513,0.37,5,B,West,1,2024-10-22
2,2024-10-29,1802755.11,0,66.24,2.716,211.5661131,8.163,0.11,2798,0.22,9,B,South,0,2024-10-29
2,2024-11-05,1939061.41,0,57.85,2.689,211.6135053,8.163,0.92,6570,0.47,4,A,South,1,2024-11-05
2,2024-11-12,1916812.74,0,59.69,2.728,211.6608975,8.163,0.88,7558,0.37,0,B,West,4,2024-11-12
2,2024-11-19,1956739.17,0,50.81,2.771,211.5470304,8.163,0.26,5949,0.23,4,A,West,4,2024-11-19
2,2024-11-26,2658725.29,1,62.98,2.735,211.4062867,8.163,0.66,2604,0.28,9,B,North,7,2024-11-26
2,2024-12-03,2015781.27,0,49.33,2.708,211.265543,8.163,0.82,4979,0.35,0,B,West,4,2024-12-03
2,2024-12-10,2378726.55,0,45.5,2.843,211.1247993,8.163,0.56,6916,0.3,10,C,West,2,2024-12-10
2,2024-12-17,2609166.75,0,47.55,2.869,211.0645458,8.163,0.53,2597,0.44,2,B,North,1,2024-12-17
2,2024-12-24,3436007.68,0,49.97,2.886,211.0646599,8.163,0.24,3532,0.18,1,B,West,0,2024-12-24
2,2024-12-31,1750434.55,1,47.3,2.943,211.064774,8.163,0.09,2513,0.15,0,A,West,7,2024-12-31
2,2024-01-07,1758050.79,0,44.69,2.976,211.0648881,8.028,0.9,7622,0.11,3,A,West,3,2024-01-07
2,2024-01-14,1744193.58,0,33.02,2.983,211.1176713,8.028,0.9,3877,0.02,1,A,North,4,2024-01-14
2,2024-01-21,1751384.9,0,41.4,3.016,211.4864691,8.028,0.63,5972,0.02,4,A,West,1,2024-01-21
2,2024-01-28,1695371.68,0,42.83,3.01,211.8552668,8.028,0.34,5843,0.44,9,A,South,4,2024-01-28
2,2024-02-04,1929346.23,0,38.25,2.989,212.2240646,8.028,0.35,3699,0.34,0,C,West,2,2024-02-04
2,2024-02-11,2168041.61,1,33.19,3.022,212.5928624,8.028,0.73,3029,0.33,9,B,South,8,2024-02-11
2,2024-02-18,2080884.82,0,57.83,3.045,212.9033115,8.028,0.9,6595,0.31,0,A,West,3,2024-02-18
2,2024-02-25,1833511.08,0,60.8,3.065,213.190421,8.028,0.89,7780,0.42,10,A,North,2,2024-02-25
2,2024-03-04,1981607.78,0,57.77,3.288,213.4775305,8.028,0.78,2716,0.24,9,B,South,1,2024-03-04
2,2024-03-11,1879107.31,0,52.7,3.459,213.7646401,8.028,0.64,7237,0.44,3,B,West,5,2024-03-11
2,2024-03-18,1902557.66,0,62.32,3.488,214.0156238,8.028,0.08,7604,0.18,6,A,West,5,2024-03-18
2,2024-03-25,1766162.05,0,69.42,3.473,214.2521573,8.028,0.16,6086,0.46,1,B,West,3,2024-03-25
2,2024-04-01,1800171.36,0,55.43,3.524,214.4886908,7.931,0.9,2665,0.35,1,C,West,5,2024-04-01
2,2024-04-08,1847552.61,0,67.0,3.622,214.7252242,7.931,0.61,4208,0.13,0,B,North,2,2024-04-08
2,2024-04-15,1856467.84,0,69.48,3.743,214.9420631,7.931,0.01,3079,0.28,4,B,East,3,2024-04-15
2,2024-04-22,1886339.6,0,69.39,3.807,215.1096657,7.931,0.1,2227,0.27,5,C,South,1,2024-04-22
2,2024-04-29,1745545.28,0,69.21,3.81,215.2772683,7.931,0.66,2148,0.07,5,A,West,2,2024-04-29
2,2024-05-06,1837743.6,0,61.48,3.906,215.4448709,7.931,0.01,3069,0.3,1,A,North,5,2024-05-06
2,2024-05-13,1838513.07,0,74.61,3.899,215.6124735,7.931,0.16,7263,0.16,6,B,East,0,2024-05-13
2,2024-05-20,1688281.86,0,67.14,3.907,215.3834778,7.931,0.55,6727,0.03,5,B,North,4,2024-05-20
2,2024-05-27,1797732.56,0,76.42,3.786,215.1544822,7.931,0.69,3363,0.47,7,B,West,5,2024-05-27
2,2024-06-03,1933756.21,0,83.07,3.699,214.9254865,7.931,0.65,6508,0.32,5,A,East,0,2024-06-03
2,2024-06-10,1929153.16,0,83.4,3.648,214.6964908,7.931,0.22,3755,0.44,8,C,South,3,2024-06-10
2,2024-06-17,1953771.99,0,86.53,3.637,214.6513538,7.931,0.71,2519,0.34,9,B,South,1,2024-06-17
2,2024-06-24,1790925.8,0,85.17,3.594,214.7441108,7.931,0.24,7463,0.18,1,B,North,4,2024-06-24
2,2024-07-01,1866243.0,0,85.69,3.524,214.8368678,7.852,0.33,5544,0.26,6,C,South,1,2024-07-01
2,2024-07-08,1853161.99,0,87.7,3.48,214.9296249,7.852,0.75,4322,0.34,4,B,South,3,2024-07-08
2,2024-07-15,1785187.29,0,89.83,3.575,215.0134426,7.852,0.65,3102,0.48,0,C,East,1,2024-07-15
2,2024-07-22,1743816.41,0,89.34,3.651,215.0749122,7.852,0.85,2597,0.13,2,B,South,2,2024-07-22
2,2024-07-29,1680693.06,0,90.07,3.682,215.1363819,7.852,0.66,7755,0.44,3,C,East,2,2024-07-29
2,2024-08-05,1876704.26,0,93.34,3.684,215.1978515,7.852,0.57,5273,0.46,1,A,East,5,2024-08-05
2,2024-08-12,1812768.26,0,91.58,3.638,215.2593211,7.852,0.09,6049,0.34,6,C,East,5,2024-08-12
2,2024-08-19,1844094.59,0,89.86,3.554,215.3229307,7.852,0.37,7781,0.47,0,A,South,5,2024-08-19
2,2024-08-26,1821139.91,0,90.45,3.523,215.386897,7.852,0.27,4605,0.2,2,B,North,5,2024-08-26
2,2024-09-02,1809119.7,0,89.64,3.533,215.4508632,7.852,0.24,4188,0.48,8,B,North,3,2024-09-02
